d30de37,lindazhang96,3 weeks ago,Corrected syntax error
271b531,lindazhang96,3 weeks ago,extended documentation standards file
e617987,lindazhang96,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
5e13cfe,lindazhang96,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
9dfaf71,ypang1997,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
60f3b1f,ypang1997,3 weeks ago,Added documentation standards under python/templates.
65b9d37,JGorospe24,3 weeks ago,Removed Host.PHP and get_api_versions from API.php
4014cd8,Harold Hodgins,3 weeks ago,made roles in User non-manditory till we figure out what to do with them
36e8aed,Harold Hodgins,3 weeks ago,Added rudimentary error page
d7dbc47,Harold Hodgins,3 weeks ago,Added set_max to Numeric Grade Item
a4203be,Harold Hodgins,3 weeks ago,Updated GradeItem and  API to use new json format
f04e2c2,Harold Hodgins,3 weeks ago,Updated OrgMember to use json internal format
e06f407,Harold Hodgins,3 weeks ago,Fixed app.py to work with new User object
27cb0e9,Harold Hodgins,3 weeks ago,Updated User object to use new format.
3c4334d,Harold Hodgins,3 weeks ago,Made roles manditory in User
38f900e,Harold Hodgins,3 weeks ago,Moved User to new file to enable moving to new json format
eefcd03,Troy Nechanicky,3 weeks ago,fixed syntax error course.php
65068f8,Sophie Wang,3 weeks ago,Removal of "Client Feedback" from document requirements, pluralized documents for indication of two documents for the versions of the project, added documentation standards to to deliverables, added coding standards to deliverables, replaced user documentation and help document
9709f63,Sophie Wang,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
950ee9a,Sophie Wang,3 weeks ago,Added mention of moving the python version from Heroku to Apache upon completion in Infrastructure Plans
f83299c,Harold Hodgins,3 weeks ago,GradeItem updated to use new json storage method
f2c9698,Harold Hodgins,3 weeks ago,Removed duplicate ROUTES from API.py
fc61a03,Harold Hodgins,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
6355025,Harold Hodgins,3 weeks ago,Fixed bug in app.py and Course.py which kept the upload page from showing
a6fa9d6,maichongju,3 weeks ago,Update comment for get_grade_items in API
52636d3,Harold Hodgins,3 weeks ago,Updated Course object to use new json internal format
f9ba4db,Harold Hodgins,3 weeks ago,Fixed bug in Course.py which kept courses from being shown
7456b62,Lucas Boulanger,3 weeks ago,Fixes to GradeItem.py create_course() signature; added show_upload() to app.py
2b590bc,maichongju,3 weeks ago, get_grade_item exception type specified to NameError
0b70c94,AndrewJChua,3 weeks ago,Course.php get_grade_item change
08fed6f,Lucas Boulanger,3 weeks ago,Host.py and app.py - fixed Host object creation with config versions
87ecc8b,Lucas Boulanger,3 weeks ago,Host.py - fixed syntax error
1ec1286,JGorospe24,3 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
929caa3,JGorospe24,3 weeks ago,Fixed comment placement and added some comments to API.php
598add9,Lucas Boulanger,3 weeks ago,Host.py - fixed get_api_version() to work with api versions from config file
bbb31ad,LucBoulanger,3 weeks ago,Made user a required parameter in get(), Removed get_api_versions() from API.py. Made versions required parameter in Host.py constructor.
7c63f48,Sophie Wang,3 weeks ago,Changed Andrew's position to back end
6766f81,HarjodhSingh,3 weeks ago,Removed user_role attribute and getter from Course.php
8373af1,HarjodhSingh,3 weeks ago,Fixed some comments in Course.php
